Grado,Asignatura,ID,Errors
4,ingles,CO-ENG-04-fruits-veggies-101,"V3.0: Missing Periodo"
4,ingles,CO-ENG-04-house-rooms-106,"V3.0: Missing Periodo"
4,ingles,CO-ENG-04-my-family-102,"V3.0: Missing Periodo"
4,ingles,CO-ENG-04-numbers-counting-103,"V3.0: Missing Periodo"
4,ingles,CO-ENG-04-shapes-sizes-109,"V3.0: Missing Periodo"
4,ingles,UNI-ENG-04-healthy-eating-001,"V3.0: Missing Periodo"
5,ingles,CO-ENG-05-body-parts-109,"V3.0: Missing Periodo"
5,ingles,CO-ENG-05-days-months-103,"V3.0: Missing Periodo"
5,ingles,CO-ENG-05-descriptions-110,"V3.0: Missing Periodo"
5,ingles,CO-ENG-05-farm-animals-108,"V3.0: Missing Periodo"
5,ingles,CO-ENG-05-healthy-habits-106,"V3.0: Missing Periodo"
5,ingles,CO-ENG-05-my-body-102,"V3.0: Missing Periodo"
5,ingles,CO-ENG-05-my-pets-101,"V3.0: Missing Periodo"
5,ingles,CO-ENG-05-my-toys-104,"V3.0: Missing Periodo"
5,ingles,CO-ENG-05-seasons-months-107,"V3.0: Missing Periodo"
5,ingles,CO-ENG-05-sports-play-105,"V3.0: Missing Periodo"
5,ingles,UNI-ENG-05-saving-water-001,"V3.0: Missing Periodo"
5,ingles,UNI-ENG-05-street-safety-001,"V3.0: Missing Periodo"
5,ingles,UNI-ENG-05-wildlife-protection-001,"V3.0: Missing Periodo"
6,ingles,CO-ENG-06-at-school-102,"V3.0: Missing Periodo"
6,ingles,CO-ENG-06-city-places-108,"V3.0: Missing Periodo"
